Translation of English phrases into other languages
English                                                           Spanish                                                                 German                                                                     French                                                                       Japanese                                                        Russian                                                   Korean                                                               Greek                                                                     Polish                                                             Portugese                                                              Chinese (simplified)-                     Arabic
is this pen yours?                                                es esta pluma tuya?                                                     ist dieser Stift dir?                                                      ce stylo est le vôtre?                                                       このペンあなたは何ですか？                                      это перо твое?                                            이 펜 당신은?                                                        to pióro twoje?                                                           to pióro twoje?                                                    é esta caneta seu?                                                     这是笔你的吗？                            هو هذا القلم لك؟
is this the bus to NY?                                            Es este el autobús a Nueva York?                                        das ist der Bus nach New York?                                             ce est le bus à New York?                                                    これはNYへのバスですか？                                        это автобус до Нью-Йорка?                                 이 뉴욕에 버스인가?                                                  jest to autobus do NY?                                                    jest to autobus do NY?                                             é este o ônibus para NY?                                               这是公交车到纽约？                        هل هذا هو الباص إلى نيويورك؟
is this your book?                                                Es este su libro?                                                       das ist dein Buch?                                                         est-ce votre livre?                                                          これはあなたの本です？                                          это ваша книга?                                           이 책입니까?                                                         jest ta książka?                                                          jest ta książka?                                                   É este o seu livro?                                                    这是你的书吗？                            هل هذا كتابك؟
is your father home?                                              es tu padre en casa?                                                    ist dein Vater zu Hause?                                                   est votre père à la maison?                                                  あなたのお父さんは家にある？                                    Ваш отец дома?                                            당신의 아버지는 집입니까?                                            mieszka twój ojciec?                                                      mieszka twój ojciec?                                               é seu pai em casa?                                                     是你爸爸在家吗？                          هو منزل والدك؟
is your house like this one?                                      es su casa como ésta?                                                   ist Ihr Haus wie dieses?                                                   est votre maison comme celle-ci?                                             あなたの家は、この1のようなものです？                           ваш дом как этот?                                         당신의 집은이 같은입니까?                                            jest twój dom jak ten?                                                    jest twój dom jak ten?                                             é a sua casa como esta?                                                是你的房子是这样吗？                      هو بيتك مثل هذا واحد؟
is your husband also from Boston?                                 es su esposo también de Boston?                                         Ihr Mann ist auch aus Boston?                                              votre mari est également de Boston?                                          あなたの夫は、ボストンからもある？                              Ваш муж тоже из Бостона?                                  당신의 남편은 보스턴에서도?                                          jest twój mąż też z Bostonu?                                              jest twój mąż też z Bostonu?                                       é o seu marido também a partir de Boston?                              是你的丈夫也从波士顿？                    هو زوجك أيضا من بوسطن؟
is your son here?                                                 es su hijo aquí?                                                        ist dein Sohn hier?                                                        est votre fils ici?                                                          あなたの息子はここですか？                                      Ваш сын здесь?                                            당신의 아들이 여기에?                                                tu jest twój syn?                                                         tu jest twój syn?                                                  é aqui o seu filho?                                                    是你的儿子吗？                            هو ابنك هنا؟
isn't it?                                                         no lo es?                                                               ist es nicht?                                                              n'est-ce pas?                                                                そうではありませんか？                                          не так ли?                                                그렇지?                                                              czyż nie?                                                                 czyż nie?                                                          não é?                                                                 是不是？                                  أليس كذلك؟
it costs twenty dollars per hour                                  que cuesta veinte dólares por hora                                      es kostet zwanzig Dollar pro Stunde                                        il en coûte vingt dollars par heure                                          それは時間あたり20ドルの費用                                    это стоит двадцать долларов в час                         그것은 시간 당 20 달러의 요금으로                                    Kosztuje dwadzieścia dolarów za godzinę                                   Kosztuje dwadzieścia dolarów za godzinę                            custa vinte dólares por hora                                           它的成本是每小时20美元                    يكلف عشرين دولارا للساعة الواحدة
it depends on the weather                                         que depende de las condiciones meteorológicas                           es vom Wetter abhängig                                                     cela dépend de la météo                                                      それは天候に依存します                                          это зависит от погодных условий                           그것은 날씨에 따라 달라집니다                                        zależy od warunków pogodowych                                             zależy od warunków pogodowych                                      isso depende do clima                                                  它依赖于天气                              ذلك يعتمد على الطقس
it hurts here                                                     me duele aquí                                                           es tut hier weh                                                            c'est douloureux ici                                                         ここが痛い                                                      у меня здесь болит                                        여기가 아파                                                          boli tutaj                                                                boli tutaj                                                         dói aqui                                                               这里疼                                    انها تؤلمني هنا
it rained very hard today                                         llovió muy difícil hoy                                                  es regnete sehr hart heute                                                 il a plu très fort aujourd'hui                                               今日は非常に難しい雨が降った                                    дождь очень трудно сегодня                                오늘날 매우 어려운 비가 내렸다                                       padało bardzo ciężko dziś                                                 padało bardzo ciężko dziś                                          choveu muito difícil hoje                                              今天下雨很辛苦                            أمطرت الصعب جدا اليوم
it takes two hours by car                                         toma dos horas en coche                                                 nach knapp zwei Stunden mit dem Auto                                       il faut deux heures en voiture                                               それは、車で2時間かかります                                     она занимает два часа на машине                           그것은 자동차로 두 시간 소요                                         zajmuje dwie godziny jazdy samochodem                                     zajmuje dwie godziny jazdy samochodem                              leva duas horas de carro                                               它需要两个小时的车程                      يستغرق ساعتين بالسيارة
it will arrive shortly                                            que llegará en breve                                                    es folgt umgehend                                                          il arrivera peu de temps                                                     それはまもなく到着します                                        он приедет в ближайшее время                              그것은 곧 도착할 것입니다                                            będzie to już niedługo                                                    będzie to już niedługo                                             ele vai chegar em breve                                                它会很快到来                              وسوف تصل قريبا
it'll be cold this evening                                        que va a ser frío esta noche                                            es wird kalt heute Abend                                                   ça va être froid ce soir                                                     それはこの夜寒いだろう                                          это будет холодно в этот вечер                            그것은 오늘 저녁에 추울 것                                           to będzie ten wieczór na zimno                                            to będzie ten wieczór na zimno                                     poderia ser frio esta noite                                            这将是寒冷的晚上                          انها سوف تكون باردة هذا المساء
it's August twenty fifth                                          es agosto vigésimo quinto                                               es ist August fünfundzwanzigsten                                           ce est Août vingt-cinquième                                                  それは8月第二十五だ                                             это августовских двадцать пятое                           그것은 8 월 스물다섯번째이다                                         to sierpień, dwudziestego piątego                                         to sierpień, dwudziestego piątego                                  é agosto vigésimo quinto                                               这是八月第二十五                          انها أغسطس الخامسة والعشرين
it's delicious                                                    es delicioso                                                            es ist köstlich                                                            ce est délicieux                                                             それはおいしいです                                              это вкусно                                                이 맛있어요                                                          to jest pyszne                                                            to jest pyszne                                                     é delicioso                                                            它的美味                                  أنها لذيذة
it's eight forty-five                                             Son las ocho y cuarenta y cinco                                         es ist acht fünfundvierzig                                                 il est huit quarante-cinq                                                    それは8四〇から五だ                                             это восемь сорок пять                                     그것은 여덟 마흔다섯의                                               to osiem czterdzieści pięć lat                                            to osiem czterdzieści pięć lat                                     é de quarenta e cinco oito                                             这是845                                   انها خمسة وأربعين ثمانية
it's eleven thirty                                                es 1130                                                                 es ist 1130                                                                ce est 1130                                                                  それは1130年だ                                                  это 1130                                                  그것은 1130년의                                                      to 1130                                                                   to 1130                                                            é 1130                                                                 这是十一点半                              انها 1130
it's far from here                                                está lejos de aquí                                                      es ist weit von hier                                                       ce est loin d'ici                                                            それはここから遠いです                                          это далеко отсюда                                         여기에서 멀리이다                                                    to daleko stąd                                                            to daleko stąd                                                     é muito longe daqui                                                    它离这儿远                                أنها بعيدة من هنا
it's going to be hot today                                        que va a estar caliente hoy                                             es wird heute sein heiß                                                    ça va être chaud aujourd'hui                                                 今日は暑いことになるだろう                                      это будет жарко сегодня                                   오늘날 뜨거운 될 것                                                  to będzie gorąco dziś                                                     to będzie gorąco dziś                                              ele vai ser quente hoje                                                它今天会是热                              انها سوف تكون ساخنة اليوم
it's going to snow today                                          que va a nevar hoy                                                      wird es schneien heute gehen                                               il va de neige aujourd'hui                                                   それは雪今日になるだろう                                        это будет снег сегодня                                    그것은 눈 오늘거야                                                   to będzie śniegu dzisiaj                                                  to będzie śniegu dzisiaj                                           ele vai nevar hoje                                                     它会今天下雪                              انها سوف الثلوج اليوم
it's half past eleven                                             es once y media                                                         es ist halb zwölf                                                          ce est moitié onze dernières                                                 それは半分過去の11のだ                                          это 11:30                                                 그것은 절반 과거 일레븐의                                            to 11:30                                                                  to 11:30                                                           é 11:30                                                                这是十一时半                              انها 11:30
it's here                                                         que está aquí                                                           es ist hier,                                                               ce est ici                                                                   それがここにある                                                это здесь                                                 그것은 여기에                                                        to tutaj                                                                  to tutaj                                                           é aqui                                                                 它在这里                                  انها هنا
it's less than five dollars                                       que es menos de cinco dólares                                           es ist weniger als fünf Dollar                                             ce est moins de cinq dollars                                                 未満では5ドルです                                               это меньше, чем пять долларов                             그것은보다 5 달러이다                                                to mniej niż pięć dolarów                                                 to mniej niż pięć dolarów                                          é menos de cinco dólares                                               这是不到五块钱                            انها أقل من خمسة دولارات
it's longer than two miles                                        es más largo de dos millas                                              es ist mehr als zwei Meilen                                                ce est plus de deux miles                                                    それは2マイルより長いです                                       это больше, чем в двух милях                              그것은 2 마일 이상이다                                               to dłużej niż dwie mile                                                   to dłużej niż dwie mile                                            é mais de duas milhas                                                  这是超过两英里长                          انها أطول من ميلين
it's mine                                                         que es mío                                                              es meins                                                                   ce est le mien                                                               それは私のものだ                                                это мое                                                   그것은 내거야                                                        to moje                                                                   to moje                                                            ele é meu                                                              这是我的                                  انها الألغام
it's more than five dollars                                       que es más de cinco dólares                                             es ist mehr als fünf Dollar                                                ce est plus de cinq dollars                                                  それ以上の5ドルの                                               это больше, чем пять долларов                             그것은 이상 5 달러이다                                               to więcej niż pięć dolarów                                                to więcej niż pięć dolarów                                         é mais do que cinco dólares                                            它比五块钱                                انها اكثر من خمسة دولارات
it's near the supermarket                                         que está cerca del supermercado                                         es ist in der Nähe der Supermarkt                                          ce est près du supermarché                                                   それはスーパーマーケットの近くです                              это около супермаркета                                    그것은 슈퍼마켓 근처에                                               to w pobliżu supermarketu                                                 to w pobliżu supermarketu                                          é perto do supermercado                                                它的附近有超市                            انها بالقرب من سوبر ماركت
it's north of here                                                que es al norte de aquí                                                 es ist nördlich von hier                                                   ce est au nord d'ici                                                         それはここから北のだ                                            это к северу отсюда                                       그것은 여기서 북쪽의                                                 to jest na północ stąd                                                    to jest na północ stąd                                             é norte de aqui                                                        它是在这里北边                            انها الشمال من هنا
it's not supposed to rain today                                   no se supone que llueva hoy                                             es soll nicht heute Regen                                                  il ne est pas censé pleuvoir aujourd'hui                                     それが今日は雨になっていない                                    он не должен дождь сегодня                                그것은 오늘 비가 안되는데                                            nie miało padać dziś                                                      nie miało padać dziś                                               não é suposto a chover hoje                                            它不应该在今天下雨                        ليس من المفترض أن المطر اليوم
it's not too far                                                  no está muy lejos                                                       es ist nicht sehr weit                                                     ce n'est pas très loin                                                       そんなに遠くはありません                                        это не очень далеко                                       너무 멀지 않아요                                                     to nie jest zbyt daleko                                                   to nie jest zbyt daleko                                            não é tão longe                                                        那儿不太远                                إنها ليست بعيدة تماما
it's not very expensive                                           no es muy caro                                                          es ist nicht sehr teuer                                                    ce ne est pas très coûteux                                                   それは非常に高価ではありません                                  это не очень дорого                                       매우 비싼 아니다                                                     to nie jest bardzo drogie                                                 to nie jest bardzo drogie                                          que não é muito caro                                                   这是不是很昂贵                            انها ليست مكلفة للغاية
it's OK                                                           está bien                                                               Es ist in Ordnung                                                          c'est OK                                                                     大丈夫です                                                      Это нормально                                             괜찮아요                                                             jest OK                                                                   jest OK                                                            está certo                                                             没关系                                    كل شيء على مايرام
it's on Seventh Street                                            que está en la calle Siete                                              es ist auf Seventh Street                                                  ce est sur Seventh Street                                                    それはセブンスストリート上にある                                это на седьмой улице                                      그것은 일곱 번째 거리에 있어요                                       to jest na Siódmej Ulicy                                                  to jest na Siódmej Ulicy                                           é na Rua Sete                                                          它是在第七街                              انها على شارع السابع
it's over there                                                   que es por allí                                                         es ist da drüben                                                           ce est là-bas                                                                それはあそこだ                                                  оно там                                                   저기요                                                               to tam                                                                    to tam                                                             é lá                                                                   这是在那边                                انها هناك
it's quarter past nine                                            es nueve y cuarto                                                       es ist 09.15 Uhr                                                           il est neuf heures et quart                                                  それは九時十五だ                                                это 9:15                                                  그것은 9시 15분이다                                                  to 09:15                                                                  to 09:15                                                           é 09:15                                                                这是九时一刻                              انها 09:15
it's quarter to seven                                             que las siete menos cuarto                                              es ist Viertel vor sieben                                                  ce est sept heures moins le quart                                            それは六時四十五だ                                              это 6:45                                                  그것은 6시 45분의                                                    to 06:45                                                                  to 06:45                                                           é 06:45                                                                这是六时三刻                              انها 06:45
it's raining                                                      está lloviendo                                                          es regnet                                                                  il pleut                                                                     雨が降っている                                                  идет дождь                                                그것은 비가                                                          pada deszcz                                                               pada deszcz                                                        está chovendo                                                          下雨了                                    انها تمطر
it's really hot                                                   hace mucho calor                                                        es ist wirklich heiß                                                       ce est vraiment chaud                                                        それは本当に暑い                                                это действительно горячая                                 정말 뜨겁다                                                          to naprawdę gorące                                                        to naprawdę gorące                                                 é realmente quente                                                     这是真热                                  انها حقا الساخنة
it's seventeen dollars                                            es diecisiete dólares                                                   es ist siebzehn Dollar                                                     ce est dix-sept dollars                                                      それは17ドルだ                                                  это семнадцать долларов                                   그것은 17 달러이다                                                   to siedemnaście dolarów                                                   to siedemnaście dolarów                                            é dezessete dólares                                                    这是17美元                                انها سبعة عشر دولار
it's shorter than three miles                                     es más corto de tres millas                                             es ist kürzer als drei Meilen                                              elle est plus courte de trois miles                                          それはより短い3マイルです                                       это меньше, чем в трех милях                              그것보다 짧은 삼마일이다                                             jest krótszy niż trzy mile                                                jest krótszy niż trzy mile                                         é mais curto de três quilômetros                                       它是短于3英里                             انها أقصر من ثلاثة أميال
it's six                                                          son las seis                                                            es ist sechs                                                               il est six                                                                   それは6のだ                                                     это шесть                                                 그것은 여섯의                                                        to sześć                                                                  to sześć                                                           é de seis                                                              这是6                                     انها ستة
it's supposed to rain tomorrow                                    se supone que lloverá mañana                                            es soll morgen regnen                                                      il est censé pleuvoir demain                                                 それは明日は雨ことになっている                                  он должен дождь завтра                                    그것은 내일 비가하기로했다                                           to ma padać jutro                                                         to ma padać jutro                                                  que deveria chover amanhã                                              它应该明天下雨                            أنه من المفترض أن المطر غدا
it's there                                                        que está ahí                                                            es ist da                                                                  ce est là                                                                    それがあります                                                  она есть                                                  그것은 거기                                                          to tam                                                                    to tam                                                             ele está lá                                                            它的存在                                  انها هناك
it's too late                                                     que sea demasiado tarde                                                 es zu spät ist                                                             il est trop tard                                                             それは手遅れ                                                    это слишком поздно                                        너무 늦었 어                                                         nie jest za późno                                                         nie jest za późno                                                  que seja tarde demais                                                  为时已晚                                  فوات الاوان
it's very cold today                                              hace mucho frío hoy                                                     es ist sehr kalt heute                                                     il fait très froid aujourd'hui                                               今日はとても寒い                                                это очень холодно сегодня                                 오늘날 매우 추워                                                     jest bardzo zimno dziś                                                    jest bardzo zimno dziś                                             está muito frio hoje                                                   今天非常冷                                انها باردة جدا اليوم
it's very important                                               que es muy importante                                                   es ist sehr wichtig,                                                       il est très important                                                        それは非常に重要です                                            это очень важно                                           그것은 매우 중요합니다                                               to bardzo ważne,                                                          to bardzo ważne,                                                   que é muito importante                                                 这是非常重要的                            من المهم جدا
it's very windy                                                   hace mucho viento                                                       es ist sehr windig                                                         ce est très venteux                                                          それは非常に風が強いです                                        это очень ветрено                                         그것은 매우 바람이다                                                 to bardzo wietrzna                                                        to bardzo wietrzna                                                 é muito ventoso                                                        这是非常多风                              انها عاصف جدا
John is going on vacation tomorrow                                Juan va en el mañana de vacaciones                                      John ist in Urlaub gehen morgen                                            John va en vacances demain                                                   ジョンは休暇明日に起こっている                                  Джон уходит на каникулы завтра                            요한은 휴가 내일 것입니다                                            John πηγαίνει για διακοπές αύριο                                          John dzieje się jutro wakacje                                      John está saindo de férias amanhã                                      约翰是去度假的明天                        جون هو ذاهب في إجازة غدا
June third                                                        tercero junio                                                           Juni dritten                                                               troisième Juin                                                               6月の第三                                                       го июня                                                   유월 제                                                              τρίτο Ιούνιο                                                              trzeci czerwca                                                     terceiro junho                                                         第三个月                                  ثلث يونيو
just a little                                                     sólo un poco                                                            nur ein wenig                                                              juste un peu                                                                 ほんの少し                                                      чуть-чуть                                                 조금만                                                               λίγο                                                                      troszeczkę                                                         apenas um pouco                                                        只是一点点                                قليلا
just a moment                                                     un momento                                                              einen augenblick                                                           juste un moment                                                              一瞬                                                            момент                                                    잠시                                                                 μια στιγμή                                                                chwileczkę                                                         um momento                                                             一会儿                                    لحظة واحدة
let me check                                                      déjame revisar                                                          Lassen Sie mich überprüfen                                                 laissez-moi vérifier                                                         私はチェックしてみましょう                                      позвольте мне проверить                                   한번 봅시다                                                          επιτρέψτε μου να ελέγξει                                                  pozwól mi sprawdzić                                                deixe-me ver                                                           让我查                                    اسمحوا لي أن تحقق
let me think about it                                             déjame pensar en ello                                                   lassen Sie mich darüber nachdenken                                         Let Me Think About It                                                        私はそれについて考えてみましょう                                дайте мне подумать об этом                                생각 좀하자                                                          επιτρέψτε μου να σκεφτώ                                                   pozwól mi myśleć o tym                                             deixe-me pensar sobre isso                                             让我想想                                  اسمحوا لي أن تفكر في ذلك
let's go                                                          vamonos                                                                 gehen wir                                                                  allons-y                                                                     行きましょう                                                    пойдем                                                    가자                                                                 πάμε                                                                      chodźmy                                                            vamos                                                                  我们走吧                                  دعنا نذهب
